"Guernsey","Guernsey","44","Europe","St. Peter Port","GBP","en,fr"
"Ghana","Ghana","233","Africa","Accra","GHS","en"
"Gibraltar","Gibraltar","350","Europe","Gibraltar","GIP","en"
"Greenland","Kalaallit Nunaat","299","North America","Nuuk","DKK","kl"
"Gambia","Gambia","220","Africa","Banjul","GMD","en"
"Guinea","Guinée","224","Africa","Conakry","GNF","fr,ff"
"Guadeloupe","Guadeloupe","590","North America","Basse-Terre","EUR","fr"
"Equatorial Guinea","Guinea Ecuatorial","240","Africa","Malabo","XAF","es,fr"
"Greece","Ελλάδα","30","Europe","Athens","EUR","el"
"South Georgia and the South Sandwich Islands","South Georgia","500","Antarctica","King Edward Point","GBP","en"
"Guatemala","Guatemala","502","North America","Guatemala City","GTQ","es"
"Guam","Guam","1671","Oceania","Hagåtña","USD","en,ch,es"
"Guinea-Bissau","Guiné-Bissau","245","Africa","Bissau","XOF","pt"
"Guyana","Guyana","592","South America","Georgetown","GYD","en"
"Hong Kong","香港","852","Asia","City of Victoria","HKD","zh,en"
"Heard Island and McDonald Islands","Heard Island and McDonald Islands","","Antarctica","","AUD","en"
"Honduras","Honduras","504","North America","Tegucigalpa","HNL","es"
"Croatia","Hrvatska","385","Europe","Zagreb","HRK","hr"
"Haiti","Haïti","509","North America","Port-au-Prince","HTG,USD","fr,ht"
"Hungary","Magyarország","36","Europe","Budapest","HUF","hu"
"Indonesia","Indonesia","62","Asia","Jakarta","IDR","id"
"Ireland","Éire","353","Europe","Dublin","EUR","ga,en"
"Israel","יִשְׂרָאֵל","972","Asia","Jerusalem","ILS","he,ar"
"Isle of Man","Isle of Man","44","Europe","Douglas","GBP","en,gv"
"India","भारत","91","Asia","New Delhi","INR","hi,en"
"British Indian Ocean Territory","British Indian Ocean Territory","246","Asia","Diego Garcia","USD","en"
"Iraq","العراق","964","Asia","Baghdad","IQD","ar,ku"
"Iran","ایران","98","Asia","Tehran","IRR","fa"
"Iceland","Ísland","354","Europe","Reykjavik","ISK","is"
"Italy","Italia","39","Europe","Rome","EUR","it"
"Jersey","Jersey","44","Europe","Saint Helier","GBP","en,fr"
"Jamaica","Jamaica","1876","North America","Kingston","JMD","en"
"Jordan","الأردن","962","Asia","Amman","JOD","ar"
"Japan","日本","81","Asia","Tokyo","JPY","ja"
"Kenya","Kenya","254","Africa","Nairobi","KES","en,sw"
"Kyrgyzstan","Кыргызстан","996","Asia","Bishkek","KGS","ky,ru"
"Cambodia","Kâmpŭchéa","855","Asia","Phnom Penh","KHR","km"
"Kiribati","Kiribati","686","Oceania","South Tarawa","AUD","en"
"Comoros","Komori","269","Africa","Moroni","KMF","ar,fr"
"Saint Kitts and Nevis","Saint Kitts and Nevis","1869","North America","Basseterre","XCD","en"
"North Korea","북한","850","Asia","Pyongyang","KPW","ko"
"South Korea","대한민국","82","Asia","Seoul","KRW","ko"
"Kuwait","الكويت","965","Asia","Kuwait City","KWD","ar"
"Cayman Islands","Cayman Islands","1345","North America","George Town","KYD","en"
"Kazakhstan","Қазақстан","76,77","Asia","Astana","KZT","kk,ru"
"Laos","ສປປລາວ","856","Asia","Vientiane","LAK","lo"
"Lebanon","لبنان","961","Asia","Beirut","LBP","ar,fr"
"Saint Lucia","Saint Lucia","1758","North America","Castries","XCD","en"
"Liechtenstein","Liechtenstein","423","Europe","Vaduz","CHF","de"
"Sri Lanka","śrī laṃkāva","94","Asia","Colombo","LKR","si,ta"
"Liberia","Liberia","231","Africa","Monrovia","LRD","en"
"Lesotho","Lesotho","266","Africa","Maseru","LSL,ZAR","en,st"
"Lithuania","Lietuva","370","Europe","Vilnius","LTL","lt"
"Luxembourg","Luxembourg","352","Europe","Luxembourg","EUR","fr,de,lb"
"Latvia","Latvija","371","Europe","Riga","EUR","lv"
"Libya","‏ليبيا","218","Africa","Tripoli","LYD","ar"
"Morocco","المغرب","212","Africa","Rabat","MAD","ar"
"Monaco","Monaco","377","Europe","Monaco","EUR","fr"
"Moldova","Moldova","373","Europe","Chișinău","MDL","ro"
"Montenegro","Црна Гора","382","Europe","Podgorica","EUR","sr,bs,sq,hr"
"Saint Martin","Saint-Martin","590","North America","Marigot","EUR","en,fr,nl"
"Madagascar","Madagasikara","261","Africa","Antananarivo","MGA","fr,mg"
"Marshall Islands","M̧ajeļ","692","Oceania","Majuro","USD","en,mh"
"Macedonia","Македонија","389","Europe","Skopje","MKD","mk"
"Mali","Mali","223","Africa","Bamako","XOF","fr"
"Myanmar [Burma]","Myanma","95","Asia","Naypyidaw","MMK","my"
"Mongolia","Монгол улс","976","Asia","Ulan Bator","MNT","mn"
"Macao","澳門","853","Asia","","MOP","zh,pt"
